ID,"Submit Year","Start Year",Title,Description,Institution,Investigators,Discipline
FT120100704,2011,2012,"The role of toxin biosynthesis for marine dinoflagellates-An evolutionary ecological approach","Potent biotoxins are produced by a range of marine dinoflagellates (microalgae), and can act as keystone metabolites in structuring marine communities. Using newly discovered information about the genetic basis of dinoflagellate toxins, next generation sequencing, and bioinformatic tools, I will examine the molecular evolution and molecular ecology of toxin production. I will use microarray methods to determine the role of temperature, light and grazer cues in the expression of toxin genes in marine symbiotic, benthic and planktonic dinoflagellates. Novel genetic tools for the monitoring of biotoxins will be developed based on unique genetic processes of dinoflagellates.","University of Technology, Sydney","Dr Shauna A Murray; Dr Heidi J Worsley","molecular evolution,biotoxin,marine genomics"
633713,2009,2010,"The Impact of Caregiving on the Health of Informal Carers: Change Over Time and Association with Stressors and Resources",,"University of Technology, Sydney","Ms Patricia M Kenny; Prof Jane P Hall; Prof Madeleine T King; Ms Olivia Parker",
D53914/01,,2011,"Gender Equality Training Panel",,"University of Technology, Sydney","Dr Juliet R Willetts; Ms Vicky Boutas",
DP130103356,2012,2013,"Massively Parallel Algorithms for Bayesian Inference and Decision Making","The primary aims of the project are to develop generic algorithms for econometric and economic analysis suited to graphical processing units, to use them in new and more realistic models of economic behaviour, and to incorporate them in readily accessible software.  In accomplishing these aims the project will make fundamental advances in the quantitative and computational infrastructure of economic science and will improve public and private sector decision-making.  The principal outcomes of the project will be a reorientation of quantitative economic modeling and statistical inference and higher standards for the realism and reliability of policy recommendations made by economists.","University of Technology, Sydney","Prof John Geweke; Prof Michael Keane; Prof Susumu Imai; Dr Bart D Frischknecht; Dr William J McCausland; Garland Durham","Bayesian inference,optimization algorithms"
DP1092654,2009,2010,"The applicability of research and practice on nation rebuilding in North American Indigenous communities to Australian Indigenous communities","Through Australia s first formal collaboration with the Harvard Project on American Indian Economic Development, the Native Nations Institute for Leadership, Management and Policy and an Australian Indigenous community, this project makes a timely, practical contribution to the development of models and mechanisms to enhance nation building and self-determination for Indigenous communities. This proposal aims to investigate the relationship between Indigenous governance and achieving cultural, social and economic aspirations for Indigenous communities. It will develop process, best practice models and practical nation building tools to facilitate their attainment, making contribution to national and international scholarship in the field.","University of Technology, Sydney","Prof Larissa Y Behrendt; Dr Miriam Ruth Jorgensen; TBA Research-Student; Miss Priya Narula","Indigenous governance; Nation building; Indigenous people; Indigenous disadvantage; Public law; Self determination;"
LP0991643R2,2008,2009,"Enhanced Analysis of Time Dependent Viscous Behaviour of Soft Clay","Soft and highly compressible soils are common in many parts of Australia. Significant settlement or collapse of buildings or embankments of infrastructure are associated with soft clay subgrade. The main goals of this project are to investigate the key parameters influencing soft clay behaviour and develop an enhanced elastic visco-plastic model capturing the time dependent deformation of foundations overlying soft soils. The designed array of laboratory experiments will attempt to clarify the uncertainties and challenge in prediction of creep deformation of soft soils. Practical guidelines will also be prepared for the precise prediction of time-dependent lateral displacements, pore water pressures and long term settlement of soft soils.'',","University of Technology, Sydney","Dr Behzad Fatahi; A/Prof Hadi Khabbaz","Geotechnical Engineering, Soft clay, Creep settlement, Numerical modelling, Laboratory testing, Consolidation,"
DP120102025,2011,2012,"Gender Related Harms in Forced Migration: A Comparative International Study","This project interrogates how refugee law has been transformed by gender. We explore this key development by addressing three axes of inquiry: *  Analysis of the impact of gender on the global development of refugee jurisprudence; *  Consideration of how gender exposes the relationship between refugee law, human rights law and migration law (including human trafficking, smuggling and securitization); *  Exploration throughout of the thematic and conceptual evolution of 'gendered identity'.  Our claim is that the uncoordinated national practice of refugee law has created a dynamic inter-relation of legal categories and key concepts which have shaped, and in turn been reshaped, by the explicit articulation of gender-related claims.","University of Technology, Sydney","Prof Jenni Millbank; Prof Catherine Dauvergne","gender related harmrefugee lawhuman rightsgender identityfeminist jurisprudencesexual orientation"
LP0989708R1,2008,2010,"Evaluation of train driver work culture and environment for improving railway safety","This proposal aims to assess the relationship between drivers and their working environment for creating a safer workplace.  Innovation that can reduce accidents in train drivers will constitute substantial socio-economic and emotional benefit to Australia. Understanding drivers  interaction with the locomotive and identifying areas of modification to improve safety will benefit the transport industry. The proposed research will lead to the creation of management programs and intelligent countermeasure algorithms for stress and fatigue, as well as information on train driver timetabling and cabin. Furthermore, the results from this study will guide policy makers and railway managers to make the railway environment safer.'',","University of Technology, Sydney","A/Prof Saroj Lal; Mr Peter Fischer; Ms Karyn Joyner","driver work environment, transport safety, signal processing, driver behaviour and physiology, countermeasures, shift work and scheduling,"
DP130102691,2012,2013,"Modelling and Discovering Complex Interaction Relations Hidden in Group Behaviours in Businesses, Online and Social Communities","Complex interactions and relations hidden in groups form a major driver of exceptional behaviours and their dynamics in wide businesses, online and social communities. The inadequacy of related techniques for modelling and discovering complex relations in behaviour analysis and data mining limits the instant detection and effective intervention on suspicious group behaviours. This project will invent effective theories and algorithms for representing and learning diverse behavior interaction relations, their influence and evolution in large groups. The outcomes will advance complex relation learning and behaviour analysis, deepen the understanding of group events and activities, and safeguard businesses, online and social communities.","University of Technology, Sydney","Prof Longbing Cao; A/Prof Philip S. Yu; Prof. Gerhard Weiss","Data mining,Behavior analysis"
DP0988939,2008,2009,"Towards a social theory of semiotic technology: Exploring PowerPoint s design and its use in higher education and corporate settings","As the dominance of PowerPoint in evaluations of academic and professional success steadily increases, there is a pressing need to understand the interaction between its design and use. This project will investigate PowerPoint s communicative potential and limitations, the normative discourses that govern its use in higher education and business, and its actual use in these settings. Innovative outcomes of the investigation will include: a deeper understanding of the influence of PowerPoint on communication and literacy practices; an accessible metalanguage for describing PowerPoint; a theoretically-grounded, evidence-based and context-sensitive framework for evaluating its use; and the outline for a social theory of semiotic technology.","University of Technology, Sydney","Prof Theodoor J van Leeuwen; A/Prof Kay Lynette O'Halloran","systemic functional linguistics, multimodality, social semiotics, genre,"
0198434,2012,2012,"TMA - Accounting - SYDNEY",,"University of Technology, Sydney","Prof Peter A Wells; Mr Brian D Leis",
DP110100773,2010,2011,"The economics of filial informal care: Future trends and directions for policy supports","This project examines the family decision on informal care and living arrangements. We aim to make constructive policy suggestions in order to promote the healthy life of elderly people, support more productive fulfilling lives and adult children with elderly parents and fortify supportive family structures.","University of Technology, Sydney","Dr Meliyanni Johar; Dr Shiko Maruyama; Dr Sayaka Nakamura","Family bargaining, integrational transfer, empirical game, contract theory, structural estimation, discrete dependent variable econometric models, aged care policy, informal care."
DP120102876,2011,2012,"Adaptive Cyber-Physical Technologies with Attention Driven Commonsense Behaviours","Cyber-physical technologies exercise a profound and growing impact on society. This project will bring together and build on two recent breakthroughs in intelligent systems to address the key technical challenges preventing the development and application of  adaptive cyber-physical technologies. The project will advance theory and allow intelligent cyber-physical systems to be realised in practice by developing an integrated bio-inspired framework, methods and tools for designing cyber-physical technologies that can reason in new and unforeseen situations that arise in applications in healthcare, aerospace, energy, healthcare, manufacturing, materials and transportation.","University of Technology, Sydney","Prof Mary-Anne Williams; Prof Peter Gardenfors; Dr Nerida A Cole","Intelligent Software AgentsSoftware Architectures for RobotsKnowledge Representation"
LE110100094,2010,2011,"Selective Laser Melting - An advanced manufacturing and physical modelling technology for the Digital Age",,"University of Technology, Sydney","Prof Hung T Nguyen",
LP100200254R2,2009,2011,"Single cell imaging of trace elements by laser ablation - inductively coupled plasma - mass spectrometry",,"University of Technology, Sydney","A/Prof Philip A Doble; Dr Dominic J Hare; A/Prof David Finkelstein; Prof Ashley Bush; Dr Paul Anthony Adlard; Mr Mark Berlage; Mr Daniel R Di Francesco; Dr TBA Postdoc1",
DP1092962,2009,2010,"China's Tibetan Buddhist Margins: Identity, Culture and Development","China is working to modernize and marketize its West, where ethnic issues area as intrinsic to policy as economic development. How China handles this ethnic-developmental axis has crucial implications for its social stability and international relations. Regional minorities who identify with major civilizations outside the Chinese mainstream have the potential to conflict or converge with China's development goals. By investigating the Tu and Nu Tibetan Buddhist minorities in Qinghai and Yunnan in China's West, this project generates new understanding of the complex politics of identity on margins of culture and development, an issue of vital interest to China domestically and in the internationally sensitive Sino-Tibetan negotiation.","University of Technology, Sydney","Dr Susette B Cooke","China; Tibet; Ethnicity; Social history; Multiculturalism; Cultural studies;"
0298327,2012,2012,"Finite Element (FE) Analysis for Dexion",,"University of Technology, Sydney","Dr Ali Saleh; Mr Peter Geoghegan; Ms Debra Johnson",
DP130100832,2012,2013,"Putting Stimulated Brillouin Scattering to work: tailored optical-phononic interactions for on-chip signal processing.","Stimulated Brillouin scattering, whereby light interacts coherently with material vibrations, is one of the strongest nonlinear effects in modern photonics. However, until recently it was not possible to generate these effects within the chip-scale circuits that are central to the future of photonic technologies. Our 2011 demonstration in a new glass platform has changed this. This project now combines theory and experiment to determine the physics of complex acoustic structures such as phononic gratings and resonators, and to harness the Brillouin interaction in optical chips. We will design, fabricate and test these new structures, and build breakthrough components for nanophotonics and all-optical processing in the microwave domain.","University of Technology, Sydney","Dr Christopher G Poulton; Prof Benjamin J Eggleton; A/Prof Michael J Steel","Stimulated scattering processes,Photonic integration,Nonlinear optics,Opto-acoustic interactions,Nonlinear integrated photonics,Nanophotonic devices"
DP1092603,2009,2010,"Recycling water and nutrients using a high-rate membrane bioreactor coupled with an ion-exchange system","The recycling of water and nutrients is becoming an issue of high Australian and international priority. Membrane bioreactor (MBR) technology combines  biological treatment and membrane filtration for solid/liquid separation. Traditional MBR has the drawbacks of partial removal of nutrients, high costs and a large footprint.We will develop a compact high-rate MBR coupled with a fluidized ion exchange system for complete pollutant removal and nutrient recovery. This will involve  i) designing  a compact system by coupling MBR with inert media which remove organic matter with less fouling and ii) developing efficient hybrid media for nutrient removal and recovery by ion exchange.","University of Technology, Sydney","Prof Saravanamuth Vigneswaran; Prof Alain Grasmick","high rate membrane bioreactor; Wastewater treatment and reuse; nutrient recovery; ion exchange;"
DP110103733,2010,2011,"Trust-Enhanced Recommender Systems for Personalised Government-to-Business e-Service","This study will transform current Government to Business service to a higher level to enable e-Government systems to offer Personalised e-Service. It will assist business users to significantly increase their use of e-Government services, particularly providing an effective solution to small and medium size businesses for locating business partners by using Government e-Services.","University of Technology, Sydney","Prof Jie Lu; Dr Da Ruan; Prof Jian-bo Yang; Ms Jaine P Stockler","web services, information systems, service orientated computing, e-government, recommender systems"
OISE-0853117,2008,2010,"NSF Postdoctoral Research Fellowship Institutional Allowance",,"University of Technology, Sydney","Dr Elizabeth M P Madin; Ms Alma-Mary McFarland",
FT110100875,2011,2011,"Enhanced Algal Biofuel Production: Optimising Photosynthesis in Australian Strains of Marine Algae","New sustainable energy sources are needed to prevent a global energy crisis due to depleting fossil fuels. Algal biofuel, isolated from Australian marine microalgae, is a realistic alternative energy source, yet the inefficiency of photosynthesis in mass culture systems is a bottle-neck, limiting productivity. Using cutting-edge technologies in molecular biology and photophysiology, this project will deliver strains of marine algae that have been photosynthetically-optimised to be the most efficient biofuel producers in mass culture. This socially and commercially relevant project will advance innovation in Australia's algal biofuel development.","University of Technology, Sydney","Dr Tom Bibby; Miss Priya Narula","Algal Biofuel;Marine Microalgae;Photosynthesis"
298332,2012,2012,"EO - Transtate P/L v Scott Corporation Ltd &Ors re corrosion of  warehouse in Port Kembla.",,"University of Technology, Sydney","Dr Robert (Bob) William Jones; Ms Natalie Perisa; Ms Debra Johnson",
LP0989290,2008,2009,"Violence in the hospital setting: testing the predictive validity of a violence assessment tool for nurses.",,"University of Technology, Sydney","Prof Debra E Jackson; Dr Lauretta Luck; Prof Lesley Wilkes; Dr Marie Clarke; Mr Reed Everingham",
298245,2011,2012,"EO - Workplace accident involving Automatic Spinning, flow turning and necking-in machine",,"University of Technology, Sydney","Mr Noel J. Carmody; Ms Debra Johnson; Jodie Miller",
585414,2009,2010,"The Bidirectional Liver TRIAL",,"University of Technology, Sydney","Prof Geoffrey Farrell; Dr Lisa M Sedger; A/Prof Narcissus C Teoh; A/Prof Jun Yu; Ms Olivia Parker",
Q-2012-035,,2012,"Evaluation Project for the Sustainable Water Management in the Duck River Project",,"University of Technology, Sydney","Dr Pierre Mukheibir; Miss Hala Razian; Ms Sally A Asker; Ms Vicky Boutas; Ms Camila Cremonese",
LP0883333,,2009,"Silent witness: New analytical approaches to advance and enhance the forensic value of human hair",,"University of Technology, Sydney","Prof Claude P Roux; Ms Donna Burgess; Dr Christopher J Lennard; Prof Alan Cooper; Dr James Robertson; Dr Dennis Blair McNevin; Mr Simon Joseph Walsh",
DP0879507,2007,2010,"Novel Architecture for Next Generation Wireless Relay Networks","The proposed project will provide a diverse range of benefits for the nation, by providing future solutions to address a number of key telecommunication networking requirements in Australia. One such area is the provision of broadband connectivity to rural and remote regions of Australia. It is well known, that wireless relay networks could potentially provide low-cost networking infrastructure for rural and remote communities. The solutions developed in the project will enable a wider deployment of such networks, as they would increase the capacity of these networks both in terms of bandwidth and their coverage. This is a major benefit to Australia, due to our large desert land-mass and sparsely populated remote and rural communities.","University of Technology, Sydney","Dr Mehran Abolhasan; Mr Nick Pappas","Relay networks, routing, AD Hoc Networks, Cooperative Diversity, Transmit Diversity, Wireless Communication"
LP120100493,2011,2012,"The Value of Characteristics of Australian Wheat","The end-use value of the many characteristics of Australian wheat, particularly as expressed by millers and food processors, is poorly understood.  The consequence is that poorly informed decisions are made in relation to plant breeding, wheat classification and wheat trading.  Strategies are required on how to maintain and expand existing high value markets and to develop new opportunities with Asian trading partners.  The ability to know what characteristics are seen as valuable in Australian wheat is seen as essential information in directing plant breeding effort in relation to wheat quality and a key factor in maintaining market share in Asia.","University of Technology, Sydney","Prof Jordan J Louviere; Dr Paul F Burke; Prof Richard Carson; Prof Gordon MacAulay; Dr Ken Quail; Dr Nerida A Cole","Agricultural Economics;International Grain Markets;Wheat Trading;Consumer Choice Modeling"
LE120100036,2011,2012,"National in-situ transmission electron microscope facilities",,"University of Technology, Sydney","Prof Jin Zou; A/Prof Xiaozhou Liao; Prof Paul Munroe; Prof John Drennan; Huijun Zhao; Prof Joao Diniz da Costa; Dr Paul Meredith; A/Prof Cheng Yan; A/Prof Nunzio Motta; A/Prof Simon Peter Ringer; Dr Lin Ye; Prof Guoxiu Wang; Rongkun Zheng; Dr Yanbo Wang; Marion A Stevens-Kalceff; A/Prof Mark J Hoffman; A/Prof Michael Ferry; A/Prof Gavin Conibeer",
DP130103027,2012,2013,"The function of small RNAs derived from the 5\xA6 end of tRNAs (5\xA6tRFs) in the regulation of gene expression and the control of the cell cycle.","We have recently discovered a new small RNA species that is processed from tRNAs. These RNAs seem to generally inhibit gene expression and they may inhibit cell transformation too. In this proposal we aim to identify the exact mechanism of how small tRNAs regulate gene expression and how they affect cell division, proliferation and transformation. This work will contribute to the better understanding of gene regulation mediated by small RNAs which is one of the most important theme of recent molecular biology studies.","University of Technology, Sydney","Dr Gyorgy J Hutvagner","small RNA,gene expression,translation"
UTSPG,2012,2013,"A novel forward osmosis electrosorption hybrid system for energy-efficient operation and life cycle assessment",,"University of Technology, Sydney","Dr Hokyong Shon; Prof Saravanamuth Vigneswaran; A/Prof Jaya K Kandasamy; Dr Adrian Langdon; Dr Amit Chanan; Ms Cheryl B Stephenson",
APP1009451,,2011,"A Critical Examination of Complementary and Alternative Medicine in Women's Health: A Focus Upon Decision-Making and Communication Regarding Risk and Risk Management",,"University of Technology, Sydney","Prof Jon Adams; Ms Olivia Parker; Mr Nick Pappas",
LE100100235,2009,2010,"Accelerating Australia's large scale video surveillance research programmes","Accelerating Australia's large scale video surveillance research programmes","University of Technology, Sydney","Prof Anton Van Den Hengel; Prof Massimo Piccardi; Prof Svetha Venkatesh; Prof David Suter; Prof Michael J Brooks; Dr Anthony Dick; Dr Henry Detmold","Video Surveillance; Computer Vision"
1010096,,2011,"A multi-site randomised controlled trial comparing the severity of constipation symptoms experienced by palliative care patients receiving usual care compared to those diagnosed and managed according",,"University of Technology, Sydney","Prof Patricia M Davidson; A/Prof Katherine Clark; Prof David Currow; Prof Nicholas Talley; Dr Philip Dinning; A/Prof Meera Agar; Ms Tania Shelby-James; Prof Jane Phillips",
"RES-LRG 09-08",2009,2009,"PNG-Australia HIV and AIDS Program: Komunity Tok Piksa - Integrating PNG Highland Narratives into Visual HIV/AIDS Prevention and Educational Material",,"University of Technology, Sydney","Prof Roderick A Iedema; Ms Kim Warburton; Ms Olivia Parker",
DP1095380,2009,2010,"China's Rural Migrant Workers: Social Transition and Cultural Practice","China s economic growth and social liberalization has transformed the ways Chinese people conceive of their identity as citizens. The transformation has been most dramatic among China s vast population of migrant workers that move between rural and urban areas. This project explores the emergence of new  migrant subjectivities  as these marginalised and highly mobile workers create distinct cultural practices through using media and communication technologies. Researching their experiences, as inflected by gender and locality, is vital to understanding the prospects for China s internal stability in times of economic stress, while also informing wider debates about cultural citizenship.","University of Technology, Sydney","Prof Wanning Sun; TBA Research-Student","China; rural migrants; gender; cultural consumption;"
LP0990750R2,2008,2009,"Experiments in the Dynamics of Preference and Choice in an Evolving Social Network","Consumers, investors, politicians and marketers gain financially, professionally or socially by being early adopters of subsequently popular trends. Such incentives can explain both beneficial coordination and detrimental herding that leads to extreme behaviour and misallocation of resources.","University of Technology, Sydney","A/Prof David Goldbaum; Prof Jordan J Louviere","Social Network, Experimental Economics, Discrete Choice Experiments, Dynamic, Word of Mouth,"
DP1093634,2009,2010,"Bacterial filamentation as a survival strategy: a goldmine for the discovery of new cell division regulators","Traditionally, long, undivided cells, called filaments, were considered the over-stressed and dying members of a bacterial population. However, accumulating evidence from unrelated areas of bacterial biology has strikingly converged on a similar theme: that filamentation is a vital survival strategy for bacteria to avoid consumption and killing by eukaryotic cells. This project mines the diversity of bacteria that use this strategy in both clinical and ecological niches to identify the proteins and molecules that regulate this important developmental process. An understanding of these cell division control mechanisms is likely to provide novel and improved anti-infective strategies.","University of Technology, Sydney","Prof Elizabeth Harry; Dr Torsten Thomas; Dr James Anthony Triccas; Warwick John Britton; Dr Catherine M Burke","Microbiology; Bacteria; Cell Division; Antibacterials;"
LE130100096,2012,2013,"Advanced High Resolution Mass Spectrometer for Collaborative Proteomic and Lipidomics Research",,"University of Technology, Sydney","Prof Steven P Djordjevic; Miss Kate Fuery; Ms Cherry Y Siu",
DP0988861,2008,2009,"Development of direct-write focussed electron beam processing techniques for nano-fabrication applications","Focused electron beam induced etching and deposition (EBIED) in a variable pressure scanning electron microscope is a highly promising one step technique for the rapid fabrication of 3D high purity nanostructures and nanodevices at the nanometre scale. In this project a major multi-faceted theoretical and experimental research program will be established to study the fundamental physics and chemistry of EBIED, so that the process can be fully understood and optimised. These new insights will facilitate the development of novel platform technologies for frontier nano- and biotechnology research as well as providing revolutionary nanoprocessing tools for the semiconductor, micro- and nano-electro- mechanical systems (MEMS) industries.","University of Technology, Sydney","Prof Matthew R Phillips","material engineering, nanofabrication, nanotechnology, lithography, electron microscopy,"
571926,2008,2009,"Building Capacity in Innovative Approaches to Health Technology Assessment - NHMRC GNT571926","This research will develop innovative approaches to health technology assessment by using a range of data sources analysed using sophisticated econometrics techniques. It will build capacity in new methods of economic evaluation and in econometric analysis of administrative and clinical trial data, using sophisticated approaches to combining data sources. This will allow further assessment of cost-effectiveness, incorporating a wide range of possible coverage scenarios and detailed monitoring.","University of Technology, Sydney","A/Prof Rosalie C Viney; Prof Marion R Haas; Dr Sallie-Anne Pearson; Mr Kees Van Gool; A/Prof Stephen Goodall",
302197523.7,,2010,"AGIC Sustainability Rating Scheme: Tool Development",,"University of Technology, Sydney","Prof Cynthia A Mitchell; Ms Kim Warburton; Ms Vicky Boutas",
0298280,2011,2012,"Clinical Supervision for Northern Sydney Home Nursing Service","The relationship will be designed as a face-to-face or electronic equivalent session at a minimum of once per month for an hour+s duration. The Clinical Supervision will start in mm/yyyy with an expected ### of sessions","University of Technology, Sydney","Prof Mary J Stein-Parbury; Ms Debra Johnson; Ms Linda Wadsworth",
DP120102786,2011,2012,"Development of Globally Optimal Solutions to Simultaneous Localization and Mapping for Robot Navigation","Robot navigation in unknown environments requires a robot to simultaneously construct a map in real-time and localize itself within the map, particularly in the absence of external location reference such as a global positioning system. The project will develop in-depth understanding of the fundamental structure and properties of nonlinearity involved in Simultaneous Localization and Mapping (SLAM); efficient and reliable algorithm for solving very large scale SLAM problems; and reliable real time monocular SLAM algorithms.  This will result in the development of robots that can reliably and continuously navigate in unknown environments, further enhancing Australia's world leading reputation in the field of robotics.","University of Technology, Sydney","A/Prof Shoudong Huang; Prof Gamini Dissanayake","Simultaneous Localization and Mapping Robot NavigationAutonomous Systems"
DP0984495,2008,2009,"The New Rich and the State in China: The social basis of local power","The relationship between the new rich and the state, manifest most clearly at the local level, is a major driver of political change in China. Research in a number of provinces will examine the interactions between social, economic and political capital in emerging local power structures to assess the dimensions of recent past and potential future change. In the process it will also assist understanding of class formation in China; and the dynamics of politics and economic development in each specific locality.","University of Technology, Sydney","Prof David S Goodman; Ms Beatriz  Carrillo Garcia; Miss Minglu Chen","China, New rich, local politics, social change, family networks,"
330813,2012,2012,"Marie Curie - International Incoming Fellowship - Nostalgia Future",,"University of Technology, Sydney","Dr Maja H Mikula; Ms Helen E Thomson",
DP1096218,2009,2010,"Pattern Discovery of Discriminating Behaviour Associated with Hidden Communities","Undesirable discriminating behaviour, such as that of sophisticated market manipulators, hides in normal community activities, with potentially serious economic and social impact. There is a lack of effective analytical techniques to explicate interior causes and effects and identify patterns of such behaviour. We will develop new and workable theoretical underpinning and algorithms to model behaviour, to discover discriminating behaviour patterns hidden in communities. This will contribute to profound understanding and smart intervention in widespread problems such as market manipulation, online crime and terrorism, and national and social security, whilst advancing Australia s reputation as a world leader in this emerging research field.","University of Technology, Sydney","Prof Longbing Cao; A/Prof Philip S. Yu; TBA Research-Student","Data mining; Behaviour pattern discovery;"
APP1049703,2012,2013,"Using Patient Experiences of Adverse Events to Improve Health Service Delivery and Practice",,"University of Technology, Sydney","Prof Roderick A Iedema; A/Prof Merrilyn Walton; Miss Kate Fuery; Ms Cherry Y Siu",
LE100100141,2009,2010,"High-resolution ITRAX XRF core scanning facility for global change research","This facility will enable researchers to obtain high resolution geochemical profiles in the study of environmental change and climate variability. It will provide archive data on the variation of density and chemical element composition along sediment and soil cores, rock cores, wood samples, speleothems and corals. These archives contain important information such as human activity, climate variability, water quality changes, pollution histories, recent geomorphological change, land use change, introduction of invasive species and the occurrence of bushfires. A better understanding of the occurrence and timing of these major environmental issues is of national and regional importance.","University of Technology, Sydney","Dennis Mather; Prof Charles G Skilbeck; Mr John Dodson; Dr Simon Haberle; Dr Michael Gagan; Prof Patrick De Deckker; Dr John Tibby; Prof Peter Gell; Dr Mark Warne; Dr Paul Hesse; Dr Ian D Goodwin; Dr Kirstie Fryirs; Prof Jonathan Woodhead; Dr Patrick Baker; Dr Russell Drysdale; Dr Scott Mooney; A/Prof Massimo Gasparon; Prof John Pandolfi; Prof Jian-Xin Zhao; Dr Dan Penny; Prof David Bowman; Dr Grzegorz Skrzypek; Prof Allan Chivas; Dr Helen McGregor; Dr Katherine Szabo; Martin Thoms","archaeological science, climate archives, climate change, climate variables, Coral Reefs, dendrochronology, Drought, elemental XRF analysis."
"CRDC UTS1202",,2012,"An Image Processing Based Method to Estimate Cotton Requirements for Nitrogen Fertiliser",,"University of Technology, Sydney","Dr Ahmed Al-Ani; Mr Mahdi Mousa Ali; Ms Adizatu Yunusa; Prof Derek Eamus",
LE110100049,,2011,"Establishment of the Australian Data Archive: an integrated research facility for the social sciences and humanities",,"University of Technology, Sydney","Mrs Gabrielle Gardiner; Dr Alex Byrne; Prof Deborah Mitchell; Dr Benjamin Evans; Dr Steven McEachern; Mr Gavan McCarthy; A/Prof Michele Ann Haynes; Dr Toby Nicolas Burrows; Dr Lynda Anne Cheshire; Prof David Norman Denemark; Prof Mark Chakrit Western; Prof Lorraine Ann Mazerolle; Prof Paul Ashton; Prof Nicholas M Nakata; Prof Paul Christopher Memmott; Prof Ian McAllister; Dr Edith Elizabeth Gray; Prof Alastair D Pennycook; Prof John L Cordery; Dr Julie E McLeod; Prof John Richard Wiseman; Prof Sharon Parker; Prof Andrea Gaynor; Ms Susan Parker",
"CRDC UTS1301",2011,2012,"Assessing Cimate Change Impacts and Adaptation Options in the Cotton Industry - Full Proposal",,"University of Technology, Sydney","Dr Qunying Luo; Dr Michael Braunack; Prof Greg Hertzler; Dr Michael Bange; Ms Natalie Chung; Ms Kim Warburton",
LP100200080R2,,2010,"Innovative approaches to identifying regional responses of biodiversity to climate change - LP100200080",,"University of Technology, Sydney","Dr Daniel Ramp; A/Prof David I Warton; Dr Kim M Jenkins; Dr Michael B Ashcroft; Dr John R Gollan; Dr Patrick Driver; Dr Nerida A Cole; Ms Susan Parker; Mr Patutai T Toki",
LE11-1982,2010,2011,"Building Local Leadership for Research Education",,"University of Technology, Sydney","EM/Prof David J Boud; Dr Nerida A Cole",
LP110100131,2010,2011,"The impact of location-specific urban digital social information networks and public displays on the City of Melbourne","The 21st Century city can inform its on-the-go citizens and tourists far more intimately than ever before. For the first time converging digital technologies afford a direct relationship between information picked-up on mobile devices and real-time location-based information illuminating large public urban screens. Our vision is to drape the city with a digital layer of information to enhance urban vibrancy, creativity and quality of life by exploiting the latest advances in GPS smart phones, urban screens, and social information networks. With our Linkage Partners we will research through experiment to assess this vision using Melbourne as our living laboratory.","University of Technology, Sydney","Prof Tom Barker; Ms Susan Parker",
LP110100429,2010,2011,"A Holistic Integrated Design Approach for Building Envelopes Incorporating Sustainability, Security and Safety",,"University of Technology, Sydney","Prof Bijan Samali; Dr Lu Aye; Dr. Tuan Duc Ngo; Prof Mark A Bradford; Ms Adizatu Yunusa; Dr Nerida A Cole",
298331,2012,2012,"EO - Shane Czerkes accident at Mains Road Train Bridge making contact with QLD Rail Electrical LInes.",,"University of Technology, Sydney","Mr Noel J. Carmody; Ms Debra Johnson; Ms Sandra Marsh",
DP110100729,2010,2011,"Risk management and funding structures: an econometric panel data analysis of health insurance in Australia  - ARC  DP110100729","This research analyses how subsidies to Australian health insurance, both public and private, vary by income, risk of loss, age and region. It will provide the necessary information to guide future health funding by analysing the equity and efficiency of existing subsidies and alternative subsidies related to individuals' risk of high health costs.","University of Technology, Sydney","Prof Elizabeth J Savage; Ms Jaine P Stockler; Prof TC P Buchmueller; A/Prof Denise Doiron; Dr Randall  Ellis; Mr Denzil G Fiebig; Mr Glenn Jones; Miss Priya Narula","public economics, equity and efficiency, risk based predictive modelling, health insurance, resource allocation."
LP0990911R2,2008,2009,"Investigation of factors that render Indigenous communities in NSW less prone to crime","This study will investigate the factors underpinning significant variations in rates of Indigenous offending in different areas of New South Wales. It will involve innovative qualitative research in six areas in NSW with high Indigenous populations with contrasting crime rates. Its purpose is to better understand what factors are influencing rates of Indigenous offending in those six communities, and what programs or strategies could assist in reducing Indigenous crime rates and increasing social cohesion.  '',","University of Technology, Sydney","Prof Larissa Y Behrendt","Aboriginal or Indigenous people, Criminology, Law and justice,"
LE100100204,2009,2010,"A laser optical plankton counter for laboratory and in situ size distributions of zooplankton, to assess the basis and outcomes of changing ecosystems","The researchers will integrate studies of zooplankton biodiversity from the tropics to the Southern Ocean with an optical plankton counter to quickly measure zooplankton size and approximate shape. This new technology, together with a resurgence in collaborative marine science through the Integrated Marine Observing System and the Sydney Institute of Marine Science, will enable Australian researchers to understand changes in the plankton in freshwater or in estuaries, as well as in the East Australian Current. This current has already strengthened and is predicted to be the area of greatest warming in the Southern Hemisphere. The response of plankton communities to these changes will have profound effects on Australian fisheries and livelihoods.","University of Technology, Sydney","A/Prof Iain Suthers; Prof Peter J Ralph; Dr Martina A Doblin; Prof Anthony J Richardson; Dr Kerrie Swadling; Dr Matthew Taylor; Dr Patti Virtue",
